age,male_qx,female_qx,source,notes
40,0.001882,0.000996,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
41,0.002044,0.001097,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
42,0.00222,0.001207,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
43,0.002411,0.001329,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
44,0.002619,0.001462,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
45,0.002845,0.00161,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
46,0.00309,0.001772,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
47,0.003356,0.00195,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
48,0.003645,0.002146,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
49,0.003959,0.002362,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
50,0.0043,0.0026,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
51,0.00467,0.002862,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
52,0.005073,0.00315,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
53,0.00551,0.003467,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
54,0.005984,0.003816,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
55,0.0065,0.0042,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
56,0.007085,0.004597,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
57,0.007722,0.005032,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
58,0.008417,0.005508,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
59,0.009175,0.00603,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
60,0.01,0.0066,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
61,0.01093,0.007228,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
62,0.011947,0.007917,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
63,0.013058,0.00867,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
64,0.014272,0.009496,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
65,0.0156,0.0104,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
66,0.017088,0.011433,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
67,0.018718,0.012569,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
68,0.020503,0.013818,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
69,0.022458,0.015191,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
70,0.0246,0.0167,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
71,0.027003,0.018505,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
72,0.02964,0.020506,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
73,0.032535,0.022722,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
74,0.035712,0.025178,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
75,0.0392,0.0279,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
76,0.043238,0.031046,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
77,0.047692,0.034547,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
78,0.052604,0.038442,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
79,0.058023,0.042777,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
80,0.064,0.0476,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
81,0.070928,0.05316,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
82,0.078607,0.05937,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
83,0.087117,0.066305,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
84,0.096548,0.07405,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
85,0.107,0.0827,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
86,0.118465,0.092401,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
87,0.131159,0.10324,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
88,0.145213,0.115351,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
89,0.160773,0.128882,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
90,0.178,0.144,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
91,0.195434,0.159622,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
92,0.214575,0.176939,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
93,0.235591,0.196135,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
94,0.258666,0.217413,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
95,0.284,0.241,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
96,0.311816,0.267146,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
97,0.342356,0.296128,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
98,0.375887,0.328254,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
99,0.412702,0.363865,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
100,0.453124,0.40334,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
101,0.497504,0.447098,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
102,0.546231,0.495602,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
103,0.59973,0.549369,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
104,0.658469,0.608969,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
105,0.722961,0.675035,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
106,0.79377,0.748268,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
107,0.871514,0.829446,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
108,0.956872,0.91943,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
109,1.0,1.0,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
110,1.0,1.0,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
111,1.0,1.0,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
112,1.0,1.0,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
113,1.0,1.0,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
114,1.0,1.0,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
115,1.0,1.0,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
116,1.0,1.0,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
117,1.0,1.0,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
118,1.0,1.0,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
119,1.0,1.0,"SSA Actuarial Study No. 124 (interpolated/extrapolated)",""
