section,subsection,label,value,units,notes,
Equity Compensation,RSU_2024,planned_sale_year,2026,year,,
Equity Compensation,RSU_2024,fmv_growth_rate,10.00%,pct,,
Equity Compensation,ISO_2023,recipient,Member 1,,sample/demo reporting module; not cash-flow-driving unless specifically enabled,
Equity Compensation,ISO_2023,grant_type,ISO,,,
Equity Compensation,ISO_2023,shares_outstanding,500,shares,,
Equity Compensation,ISO_2023,fmv_per_share_today,$150,USD/share,,
Equity Compensation,ISO_2023,exercise_price,$25,USD/share,,
Equity Compensation,ISO_2023,grant_date,6/1/2023,date,,
Equity Compensation,ISO_2023,vest_schedule,fully vested,,,
Equity Compensation,ISO_2023,planned_exercise_year,2026,year,,
Equity Compensation,ISO_2023,planned_sale_year,2027,year,,
Equity Compensation,ISO_2023,fmv_growth_rate,10.00%,pct,,
Estate Planning,Federal,portability_enabled,TRUE,yes/no,Federal DSUE/portability enabled in terminal estate approximation.,
Estate Planning,Step-Up,property_regime,COMMON_LAW,choice,"COMMON_LAW, HALF_STEP_UP, FULL_STEP_UP, or COMMUNITY_PROPERTY.",
Insurance In Force,Life_1,policy_type,Life,choice,Life | Disability | Long-Term Care | Umbrella | Other; policy type shown in the section heading.,
Insurance In Force,Life_1,owner,,text,Policy owner.,
Insurance In Force,Life_1,insured,,text,Insured person or covered property.,
Insurance In Force,Life_1,beneficiary,,text,Primary beneficiary.,
Insurance In Force,Life_1,face_amount,$0,USD,Death benefit / face amount.,
Insurance In Force,Life_1,term_end_year,,year,Term end year in YYYY format.,
Insurance In Force,Life_1,annual_premium,$0,USD,Annual premium amount; premium-end year fields use YYYY.,
Insurance In Force,Life_1,premium_end_year,,year,Last premium year in YYYY format.,
Insurance In Force,Life_1,notes,,text,Optional policy notes.,
