kind,key,label,annual_budget,start_year,end_year,one_time_year,notes,_mode,line_section,line_mode
category,taxi_ride_shares,Taxi & Ride Shares,900,,,,Annualized actual,,,
category,travel_housing,Travel - Housing,4200,,,,Annualized actual,,,
category,travel_insurance,Travel - Insurance,180,,,,Annualized actual,,,
category,travel_plane_train_bus,Travel - Plane/Train/Bus,1700,,,,Annualized actual,,,
category,travel_vacation,Travel & Vacation,11000,,,,Annualized actual,,,
category,uncategorized,Uncategorized,,,,,Annualized actual,,,
category,vision,Vision,2400,,,,Source: Wellness Budget Detail / transaction/detail input,,,
category,vitamins_supplements,Vitamins & Supplements,2700,,,,Annualized actual,,,
category,water,Water,600,,,,Annualized actual,,,
category,wellness_premium,Healthcare Premium,,,,,Legacy transaction alias; budget controlled by Pre-65 Healthcare Premium and Medicare premium rows.,,,
category,charitable_donations,Charitable Donations,5100,,,,,,,
category,children_weddings,Children Weddings,,,,,,,,
category,recurring_travel,Recurring Travel Projection,,,,,,,,
group,Travel::Travel,Travel,28000,,,,,summary,,
line,weddings,Wedding - first child,60000,,,2031,Seeded from large discretionary extras,,category_budget,detail
line,weddings,Wedding - second child,60000,,,2034,Seeded from large discretionary extras,,category_budget,detail
line,home_improvement,Home Improvement,20000,2027,2031,,Seeded from large discretionary extras; CR116: merged from Other Improvement,,category_budget,detail
line,travel_housing,Travel - Housing,4200,,,,Recurring line so Travel breaks out as its own Cash Flow Projection column,,category_budget,detail
line,travel_insurance,Travel - Insurance,180,,,,Recurring line so Travel breaks out as its own Cash Flow Projection column,,category_budget,detail
line,travel_plane_train_bus,Travel - Plane/Train/Bus,1700,,,,Recurring line so Travel breaks out as its own Cash Flow Projection column,,category_budget,detail
line,travel_vacation,Travel & Vacation,11000,,,,Recurring line so Travel breaks out as its own Cash Flow Projection column,,category_budget,detail
line,significant_gifts,Gifts to grandchildren,38000,,,2026,,,large_discretionary,detail
line,travel_total,Travel Budget Total,10000,,,,Auto-synced from taxonomy budget,,travel,summary
line,healthcare_total,Healthcare Budget Total,8300,,,,Auto-synced from taxonomy budget,,healthcare,summary
line,housing_total,Housing Budget Total,38000,,,,Auto-synced from taxonomy budget,,housing,summary
